phase,map_ref,slope_length_m,vert_rise_m,hourly_capacity,oper_hours,access_role_pct,misload_pct,stated_adjusted_hourly,stated_vtm_day_000,weighted_vertical_demand_m,stated_ccc,computed_adjusted_hourly,computed_ccc,ccc_diff
Phase 1 (Existing),Lil' Bit,103,15.45,1500,7.0,75,2,345,1000,1000,37,345.0,37.31175,0.3
Phase 1 (Existing),Turtle Creek Carpet,176,30.5,1800,7.0,0,2,1764,1000,1000,377,1764.0,376.614,-0.4
Phase 1 (Existing),2,1011,280.0,2185,7.0,85,10,109,0,1583,135,109.25000000000004,135.2684775742262,0.3
Phase 1 (Existing),5,2391,900.0,2357,7.0,75,10,353,879,3394,656,353.55,656.2654684737772,0.3
Phase 1 (Existing),12,1902,633.0,2200,6.5,5,5,1980,6829,3379,2411,1979.9999999999998,2410.982539212784,-0.0
Phase 1 (Existing),14,1880,530.0,1800,6.0,0,5,1710,6473,5857,928,1710.0,928.427522622503,0.4
Phase 2,Lil' Bit,103,15.45,1500,7.0,75,2,345,1000,1000,37,345.0,37.31175,0.3
Phase 2,Alpine Carpet,250,50.0,1800,7.0,85,2,234,1000,1000,82,234.00000000000006,81.90000000000003,-0.1
Phase 2,2,1011,280.0,2800,7.0,85,10,140,0,1583,173,140.00000000000006,173.34175615919148,0.3
Phase 2,5,2391,900.0,2800,7.0,75,10,420,879,3394,780,420.0,779.6110783736004,-0.4
Phase 2,12,1902,633.0,2600,6.5,5,5,2340,6829,3379,2849,2339.9999999999995,2849.3430008878363,0.3
Phase 2,14,1880,530.0,2600,6.0,0,5,2470,6473,5857,1341,2470.0,1341.0619771213933,0.1
Phase 2,3,1006,280.0,2400,7.0,50,10,960,6268,4350,433,960.0,432.55172413793105,-0.4
Phase 2,6,1983,658.0,2400,7.0,30,10,1440,8900,7150,928,1440.0,927.641958041958,-0.4
Phase 2,11,438,125.0,1800,7.0,5,10,1530,1342,3500,383,1530.0,382.5,-0.5
Phase 2,13,1216,412.0,1800,6.5,0,10,1620,1715,9625,451,1620.0,450.7387012987013,-0.3
Phase 2,15,2111,885.0,2400,6.0,0,10,2160,9232,8625,1330,2160.0,1329.8086956521738,-0.2
Phase 2,18,1235,444.0,2400,6.5,0,10,2160,7322,8400,742,2160.0,742.1142857142858,0.1
Phase 3,Lil' Bit,103,15.45,1500,7.0,75,2,345,1000,1000,37,345.0,37.31175,0.3
Phase 3,Alpine Carpet,250,50.0,1800,7.0,85,2,234,1000,1000,82,234.00000000000006,81.90000000000003,-0.1
Phase 3,2,1011,280.0,2800,7.0,85,10,140,0,1583,173,140.00000000000006,173.34175615919148,0.3
Phase 3,5,2391,900.0,2800,7.0,75,10,420,879,3394,780,420.0,779.6110783736004,-0.4
Phase 3,12,1902,633.0,2600,6.5,5,5,2340,6829,3379,2849,2339.9999999999995,2849.3430008878363,0.3
Phase 3,14,1880,530.0,2600,6.0,0,5,2470,6473,5857,1341,2470.0,1341.0619771213933,0.1
Phase 3,3,1006,280.0,2400,7.0,50,10,960,6268,4350,433,960.0,432.55172413793105,-0.4
Phase 3,6,1983,658.0,2400,7.0,30,10,1440,8900,7150,928,1440.0,927.641958041958,-0.4
Phase 3,11,438,125.0,1800,7.0,5,10,1530,1342,3500,383,1530.0,382.5,-0.5
Phase 3,13,1216,412.0,1800,6.5,0,10,1620,1715,9625,451,1620.0,450.7387012987013,-0.3
Phase 3,15,2111,885.0,2400,6.0,0,10,2160,9232,8625,1330,2160.0,1329.8086956521738,-0.2
Phase 3,18,1235,444.0,2400,6.5,0,10,2160,7322,8400,742,2160.0,742.1142857142858,0.1
Phase 3,19,1193,397.0,1500,6.0,0,5,1425,3392,7934,428,1425.0,427.82329216032264,-0.2
Phase 3,21,513,63.0,1800,6.5,100,0,0,0,0,0,0.0,0,0
Phase 3,22,1225,500.0,2400,6.8,15,5,1920,6527,4423,1476,1919.9999999999998,1475.9213203707889,-0.1
Phase 3,23,189,21.0,1000,6.0,0,10,900,116,1000,113,900.0,113.4,0.4
Phase 3,24,120,9.0,500,6.0,0,5,475,26,1000,26,475.0,25.65,-0.4
Phase 3,25,1093,451.0,2400,6.0,100,0,0,0,0,0,0.0,0,0
Buildout,Lil' Bit,103,15.45,1500,7.0,75,2,345,1000,1000,37,345.0,37.31175,0.3
Buildout,Alpine Carpet,250,50.0,1800,7.0,85,2,234,1000,1000,82,234.00000000000006,81.90000000000003,-0.1
Buildout,2,1011,280.0,2800,7.0,85,10,140,0,1583,173,140.00000000000006,173.34175615919148,0.3
Buildout,5,2391,900.0,2800,7.0,75,10,420,879,3394,780,420.0,779.6110783736004,-0.4
Buildout,12,1902,633.0,2600,6.5,5,5,2340,6829,3379,2849,2339.9999999999995,2849.3430008878363,0.3
Buildout,14,1880,530.0,2600,6.0,0,5,2470,6473,5857,1341,2470.0,1341.0619771213933,0.1
Buildout,3,1006,280.0,2400,7.0,50,10,960,6268,4350,433,960.0,432.55172413793105,-0.4
Buildout,6,1983,658.0,2400,7.0,30,10,1440,8900,7150,928,1440.0,927.641958041958,-0.4
Buildout,11,438,125.0,1800,7.0,5,10,1530,1342,3500,383,1530.0,382.5,-0.5
Buildout,13,1216,412.0,1800,6.5,0,10,1620,1715,9625,451,1620.0,450.7387012987013,-0.3
Buildout,15,2111,885.0,2400,6.0,0,10,2160,9232,8625,1330,2160.0,1329.8086956521738,-0.2
Buildout,18,1235,444.0,2400,6.5,0,10,2160,7322,8400,742,2160.0,742.1142857142858,0.1
Buildout,19,1193,397.0,1500,6.0,0,5,1425,3392,7934,428,1425.0,427.82329216032264,-0.2
Buildout,21,513,63.0,1800,6.5,100,0,0,0,0,0,0.0,0,0
Buildout,22,1225,500.0,2400,6.8,15,5,1920,6527,4423,1476,1919.9999999999998,1475.9213203707889,-0.1
Buildout,23,189,21.0,1000,6.0,0,10,900,116,1000,113,900.0,113.4,0.4
Buildout,24,120,9.0,500,6.0,0,5,475,26,1000,26,475.0,25.65,-0.4
Buildout,25,1093,451.0,2400,6.0,100,0,0,0,0,0,0.0,0,0
Buildout,1,1198,382.0,3000,7.0,75,10,450,1203,2500,481,450.0,481.32,0.3
Buildout,4,1160,399.0,2800,7.0,85,10,140,391,5000,78,140.00000000000006,78.20400000000004,0.2
Buildout,7,1358,421.0,2800,7.0,5,5,2520,7420,5166,1438,2519.9999999999995,1437.5609756097558,-0.4
Buildout,8,976,164.0,1800,7.0,100,0,0,0,0,0,0.0,0,0
Buildout,9,701,94.0,1800,6.5,0,15,1530,931,2500,374,1530.0,373.932,-0.1
Buildout,10,1559,414.0,2400,6.8,10,5,2040,5746,4560,1259,2040.0,1259.4315789473685,0.4
Buildout,16,1313,395.0,1800,6.5,50,10,720,1847,8500,217,720.0,217.48235294117646,0.5
Buildout,17,1993,633.0,2400,6.5,5,5,2160,8885,5441,1633,2160.0,1633.3982723764013,0.4
Buildout,20,1746,579.0,2400,6.25,0,5,2280,8253,7403,1115,2280.0,1114.5143860597054,-0.5
