threshold_set,class_index,aspect,area_pct
sac_ski_touring,0,S,40.12
sac_ski_touring,0,E,17.54
sac_ski_touring,0,W,12.06
sac_ski_touring,1,S,6.83
sac_ski_touring,0,N,4.7
sac_ski_touring,2,S,3.95
sac_ski_touring,1,W,2.21
sac_ski_touring,1,E,2.18
sac_ski_touring,3,S,1.87
sac_ski_touring,2,E,1.51
sac_ski_touring,2,W,1.45
sac_ski_touring,4,S,1.24
sac_ski_touring,3,E,0.85
sac_ski_touring,4,E,0.85
sac_ski_touring,3,W,0.72
sac_ski_touring,1,N,0.54
sac_ski_touring,2,N,0.4
sac_ski_touring,4,N,0.37
sac_ski_touring,4,W,0.36
sac_ski_touring,3,N,0.27
folk_banding_pct,2,S,29.81
folk_banding_pct,1,S,13.91
folk_banding_pct,2,E,10.48
folk_banding_pct,0,S,10.28
folk_banding_pct,2,W,9.24
folk_banding_pct,0,E,6.61
folk_banding_pct,1,E,5.83
folk_banding_pct,1,W,3.79
folk_banding_pct,0,W,3.76
folk_banding_pct,2,N,2.74
folk_banding_pct,0,N,2.22
folk_banding_pct,1,N,1.31
