ssp,horizon,snow_to_water_ratio,projected_depth_m,historical_baseline,historical_m,reliability_ratio
ssp245,1991-2020,8,4.74,rmr_low,9,0.53
ssp245,1991-2020,8,4.74,rmr_high,14,0.34
ssp245,1991-2020,10,5.92,rmr_low,9,0.66
ssp245,1991-2020,10,5.92,rmr_high,14,0.42
ssp245,1991-2020,13,7.7,rmr_low,9,0.86
ssp245,1991-2020,13,7.7,rmr_high,14,0.55
ssp245,2041-2070,8,4.28,rmr_low,9,0.48
ssp245,2041-2070,8,4.28,rmr_high,14,0.31
ssp245,2041-2070,10,5.35,rmr_low,9,0.59
ssp245,2041-2070,10,5.35,rmr_high,14,0.38
ssp245,2041-2070,13,6.95,rmr_low,9,0.77
ssp245,2041-2070,13,6.95,rmr_high,14,0.5
ssp585,1991-2020,8,4.71,rmr_low,9,0.52
ssp585,1991-2020,8,4.71,rmr_high,14,0.34
ssp585,1991-2020,10,5.89,rmr_low,9,0.65
ssp585,1991-2020,10,5.89,rmr_high,14,0.42
ssp585,1991-2020,13,7.66,rmr_low,9,0.85
ssp585,1991-2020,13,7.66,rmr_high,14,0.55
ssp585,2041-2070,8,3.96,rmr_low,9,0.44
ssp585,2041-2070,8,3.96,rmr_high,14,0.28
ssp585,2041-2070,10,4.95,rmr_low,9,0.55
ssp585,2041-2070,10,4.95,rmr_high,14,0.35
ssp585,2041-2070,13,6.43,rmr_low,9,0.71
ssp585,2041-2070,13,6.43,rmr_high,14,0.46
