PID,network_dist_to_gondola_base_m,network_dist_to_downtown_m
016797256,5467.3153068679885,330.3981917232971
010532773,4565.143412435631,1167.9695931499032
016218931,5467.3153068679885,330.3981917232971
014494442,5531.224197074794,2851.632677691031
030927986,5932.184288560148,397.6134746965643
016167481,5749.100957728517,460.46002714588633
017825822,5602.245883744122,465.32876859943
006642187,5416.233919046772,319.8878347133672
016797281,5467.3153068679885,330.3981917232971
014713144,5917.653655726477,195.9643860104007
016835638,5603.990878961718,266.5744179770941
016179048,5205.567085781398,530.9110715596661
016797345,5314.3436339297,912.4289650983435
013841165,6744.296371660964,1048.9457438900704
013822926,7085.781981744087,1401.9954042863255
013822870,7141.25190957685,1457.4653321190888
023586834,5328.786656433512,926.871987602155
013822900,7085.781981744087,1401.9954042863255
005715610,7198.610627851728,1514.824050393967
017038537,5603.990878961718,266.5744179770941
016835646,5603.990878961718,266.5744179770941
016797311,5314.3436339297,912.4289650983435
026380005,6860.116505966698,1153.8017889107962
013822896,7085.781981744087,1401.9954042863255
024210862,5366.580224818864,499.09874799122895
,3467.8925208011874,2263.6254206070334
018250645,3467.8925208011874,2263.6254206070334
016167457,5736.369404864221,447.728474281591
016220528,5275.499078021751,457.70890021670033
005720184,5731.340672806598,564.2105280402944
011074892,5628.532657700725,605.9570403417041
016914783,5597.1526627202165,273.41263421859617
018332617,5875.322250302388,460.77235167879337
016180011,5603.990878961718,266.5744179770941
014713161,5917.653655726477,195.9643860104007
013822934,7058.830443849546,1353.2858013069672
012826324,4744.077603671527,2904.1123301916646
016797388,5314.3436339297,912.4289650983435
013961900,5584.147716471729,447.23060132703716
013822764,7202.905048345686,1519.1184708879246
015744507,5156.383233423178,737.3335221799168
016222008,5945.664338201691,218.54717706425518
013822730,7032.727873132011,1326.4131560761093
016178025,5508.146758242463,618.5965556929473
013822748,7032.727873132011,1326.4131560761093
018815103,5363.771300234041,519.8721306740431
016221991,5945.664338201691,218.54717706425518
016914767,5597.1526627202165,273.41263421859617
006275931,5905.033536400489,737.9033916341847
,7228.3646414395735,1544.5780639818124
010899651,7487.3843497201315,1781.069632664229
016034112,5271.590342079962,869.6756732486054
016179854,5467.3153068679885,330.3981917232971
032101236,4203.479844517007,2163.55412097091
032101244,4203.479844517007,2163.55412097091
032101252,4203.479844517007,2163.55412097091
032101261,4203.479844517007,2163.55412097091
,4203.479844517007,2163.55412097091
016221982,5945.664338201691,218.54717706425518
009560629,5875.322250302388,460.77235167879337
016218957,5467.3153068679885,330.3981917232971
013052632,6832.88585117619,1126.5711341202875
032852533,3182.11514209901,2549.402799309211
032852495,3182.11514209901,2549.402799309211
032852541,3182.11514209901,2549.402799309211
032852509,3182.11514209901,2549.402799309211
032852517,3182.11514209901,2549.402799309211
032852576,3182.11514209901,2549.402799309211
032852550,3182.11514209901,2549.402799309211
032852568,3182.11514209901,2549.402799309211
032852525,3182.11514209901,2549.402799309211
,3182.11514209901,2549.402799309211
016222024,5917.653655726477,195.9643860104007
016178882,5530.830761605422,339.73453533339136
013822756,7054.32164287244,1348.0069258165381
016914775,5597.1526627202165,273.41263421859617
016835620,5603.990878961718,266.5744179770941
016178017,5508.146758242463,618.5965556929473
013822721,6985.852552923931,1279.537835868029
016797353,5314.3436339297,912.4289650983435
016167490,5766.824350420655,478.1834198380242
016178963,5307.680936931596,463.7817673715985
014041430,5467.3153068679885,330.3981917232971
016180178,5956.398632122073,400.2857231886733
016167465,5749.100957728517,460.46002714588633
012901156,8100.479606038056,2423.1911513181262
016222016,5945.664338201691,218.54717706425518
012096032,5307.680936931596,463.7817673715985
031927181,5757.7003296106395,578.394272370542
031927190,5757.7003296106395,578.394272370542
,5757.7003296106395,578.394272370542
006275974,5905.033536400489,737.9033916341847
007214189,8769.83617098938,3092.5477162694506
016178009,5508.146758242463,618.5965556929473
017646995,5603.990878961718,266.5744179770941
016178891,5530.830761605422,339.73453533339136
